Name,Affiliation,h-index,i10-index,Citations
Mousumi Saha,"Graduate Student, Aston Labs by Prof R Graham Cooks, Department of Chemistry, Purdue University",8,8,302
Mukesh Doble,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM",71,264,20212
Muruhan Rathinam,UMBC,19,28,2934
Muthu Kumaran Gnanamani,University of Kentucky,32,63,3207
Dr. Nahar Singh,"Chief Scientist , CSIR-NPL, New Delhi-India",33,54,3969
Prashant R. Nair,"Professor, Department of Computer Science & Engg,  Amrita Vishwa Vidyapeetham, Coimbatore",9,9,401
Saranya Nallapareddy,PhD student,5,3,434
Narayanan Rengaswamy,"Assistant Professor of Electrical and Computer Engineering, The University of Arizona",12,12,379
Narayanan Srinivasan,Indian Institute of Technology Kanpur,46,100,6291
Pallab Ghosh,Unknown affiliation,33,75,3626
Partha S.Bhattacharjee,Xavier University of Louisiana,22,38,1806
Monisha Pasupathi,University of Utah,56,96,16600
Prabhu Rajagopal,"Professor, Department of Mechanical Engineering, IIT Madras, T.N., India",27,61,2596
Prasad Menon,Unknown affiliation,1,0,3
Radhika Srinivasan,"PGIMER, Chandigarh",49,231,9094
Raghunathan Rengaswamy,"Professor of Chemical Engineering, IIT Madras",48,142,15805
Rajagopalan Srinivasan,Indian Institute of Technology Madras,52,143,7813
Dr. Krishan Kumar,"Department of Food Technology, Rajiv Gandhi University, Rono Hills, Doimukh, Arunachal Pradesh",21,30,1907
Karthik Rajendran,Associate Professor SRM University-AP,42,71,5997
Ramesh Hariharan,Mott MacDonald,1,1,10
"Ranjit Nair, MD",UT MD Anderson Cancer Center,23,49,2379
Ravi Jain,Google,45,108,9455
Vinu Ravikrishnan,"Professor, Chemical Engineering, Indian Institute of Technology Madras, India",50,123,7862
Sampath Rajagopalan,University of Southern California,28,38,3332
Sandeep Neema,"Research Professor, Vanderbilt University",34,98,10414
Sanghamitra Bandyopadhyay,"Professor of Computer Science, Indian Statistical Institute, Kolkata, India",64,221,21383
Dr.Saravanan Subramanian,College Librarian,60,319,15994
Saravanan vijayakumar,"Scientist NCDIR, ICMR",15,19,757
Satyajit Mayor,National Centre for Biological Sciences TIFR,73,127,25325
Senthilkumar Balakrishnan,Tamil Nadu State Council for Science  and Technology,37,69,26735
Shankar Subramaniam,University of California San Diego,93,280,59156
Sharath Nittur Sridhar,"Research Scientist, Intel Corporation",6,5,932
Muthusamy Sivakumar,"Professor of Practice, Biotechnology, Periyar Maniammai Institute of Science & Tech, Thanjavur",31,69,3903
Sobha Vijayan Nair,"Associate Professor, Amrita Viswa Vidhyapeetham",9,9,348
sreekumar narayanan,"Botho University, Gaborone, Botswana",5,2,64
Srinivas Chakravarthy,"Senior Scientist, Cytiva",30,57,4084
R Srinivasan,texas,99,396,60466
Sudarshan Srinivasan,Intel,15,16,1424
Mark U SubbaRao,"NASA's Scientific Visualization Studio, Goddard Space Flight Center",53,68,61003
Prof. Suresh Kumar Gupta,Distinguished Professor& HOD Department of Clinical Research DPSR UNIVERSITY,69,311,19802
Suresh Sethu,Assistant Professor in NPR College of Engineering and Technology,2,0,14
swathi v iyer,"Research Scholar, Memorial Sloan Kettering Cancer Center",11,11,872
Prof. Dr. Sayed Abdel Kader Ahmed,"Professor of Organic Chemistry, Vice Dean, Faculty of Science, Beni Suef University",56,302,18802
T.G. Srinivasan,"Professor, HBNI",46,141,6856
Assist. Prof/Dr.Tamilselvan Mohan,Graz University of Technology,30,66,2358
Uma Maheswari Krishnan,SASTRA DEEMED UNIVERSITY,60,192,12409
K Unnikrishnan Nair,"Professor - Organizational Behaviour, IIM Kozhikode; Former ICCR Rotating Chair Professor, FSU Jena",5,5,330
Vijay V Raghavan,"Alfred and Helen Lamson Endowed Professor in Computer Science, University of Louisiana at Lafayette",46,140,11551
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Viswanathan (Vishy) Swaminathan,"Sr. Principal Scientist, Adobe Research",33,81,4066
Vivek Kumar Garg,Unknown affiliation,35,93,4342
Vivek Hari Sundar Gandhivel,"Donald Danforth Plant Science Center, USA",4,3,115
Dr. Yuvaraj T,"Research Faculty, Centre for Smart Energy Systems, Chennai Institute of Technology, Chennai, India",24,36,2306
Bodh Raj Mehta,Indian Institute of Technology Delhi,46,189,9585
Devang Khakhar,Indian Institute of Technology Bombay,46,109,7888
Harpreet Singh,LIbrarian,60,388,19432
jhuma sen gupta,Researcher,4,3,81
Naveen Garg,"Computer Science and Engineering, IIT Delhi",34,54,7060
Prashant K Jain,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign",59,101,34710
Pradipta Ghosh,"Professor of Medicine and Cellular and Molecular Medicine, University of California, San Diego",52,121,23594
Rangan Banerjee,IIT Bombay,45,105,7495
Saikat Bhattacharya,UT Southwestern Medical Center,10,10,280
Shalabh Bhatnagar,"Professor in the Department of Computer Science and Automation, Indian Institute of Science",37,102,7773
Shantanu Roy,University of Chicago,58,270,14261
Sudip Misra,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur",66,349,19274
Sujay Guha,Stanford University,8,8,345
Supriyo Bandyopadhyay,"Virginia Commonwealth University, University of Nebraska, University of Notre Dame, Purdue",53,177,10808
Tarun Kant,"Professor Emeritus, Department of Civil Engineering, Indian Institute of Technology Bombay",51,119,10071
Utpal Bora,"Professor, Indian Institute of Technology Guwahati",42,83,8200
"V Ramgopal Rao, Fellow of IEEE, TWAS, INSA, INAE, IASc, NASI",IIT Bombay/IIT Delhi,50,202,9021
Vijay Kumar Jain,"Professor Orthopaedic surgery, Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar",33,71,3836
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Prasanna Mohan Viswanathan,"Professor, Curtin University Malaysia",41,117,5624
Yogesh C. Joshi,"Scientist-F (Professor) ARIES, Nainital",35,56,4040
Advait Abhay Dixit,"University of California, Los Angeles",15,20,2635
Dr. Ajay Kumar Gupta,Ganpat University,14,17,13528
Amol Deshmukh,"Professor, NIT Nagpur",23,55,1699
Arnab K. Basu,"Charles H. Dyson School of Applied Economics and Management, Cornell university, Ithaca, NY 14850.",22,35,1861
"Ashish Ranjan Sharma, Ph.D.","Institute of Skeletal Ageing & Orthopedic Surgery, Hallym University, South Korea",47,113,9604
Atul Dixit,Tulane University,18,35,924
Dr. Atul Srivastava,Unknown affiliation,40,227,10286
Avijit Ghosh,Dayra,50,280,10733
Ayaskanta Sahu,New York University,25,31,2424
Aravindha Babu,Professor sree balaji dental college and hospital. Bharath university chennai.,19,30,1464
Bhaskar Dasgupta,"Consultant Rheumatologist, Southend University",69,182,24069
Debasis Mitra,"Professor of Electrical Engineering, Columbia University",68,224,18700
Dhiren Patel,"NIT Surat, India",29,61,5012
Dipti Srinivasan,"IEEE Fellow;  Professor, National University of",90,308,27133
Girish Dalvi,Indian Institute of Technology Bombay,7,5,158
Guhan Jayaraman,"Professor of Biotechnology, IIT Madras Chennai",26,35,1618
Himadri Pakrasi,Unknown affiliation,78,209,17865
Dr Indumathi T,Postdoctoral Researcher,14,17,404
Ishwar K. Puri,"Professor, Viterbi School of Engineering, University of Southern California",58,183,10119
Kaustav Chatterjee,"Assistant Professor, Indian Institute of Technology Roorkee",13,20,665
Kshitij Gupta,Unknown affiliation,16,18,1680
Manish K. Tiwari,University College London,39,89,6885
Markus Kraft,"University of Cambridge, MIT",76,330,21879
Milind Tambe,"Professor & Director CRCS Center  @Harvard; Director ""AI for Social Good"" @Google Research",97,457,40277
Mukesh Prasad,University of Technology Sydney,40,115,8347
Narendra Dixit,"Department of Chemical Engineering, Indian Institute of Science",33,66,3514
Niladri S. Chatterji,"Postdoctoral Researcher, Department of Computer Science, Stanford University",24,28,10961
Niranjan Damle,Assestant Professor,2,0,7
Dr. Nishant Saurabh,"Assistant Professor, Utrecht University, Netherlands.",11,13,413
Dr. Pankaj Singh,"Department of Biotechnology, Dr. Rammanohar Lohia Avadh University, Ayodhya, UP, India",21,52,1989
Partha Bhattacharyya,"Associate Professor,Dept. of Electronics and Telecommunication Engineering,IIEST,Shibpur,India",35,79,4728
Parthasarathi Das  FRSC,Indian Institute of Technology (ISM) Dhanbad,29,66,2244
Pradip Kumar Chatterjee,"Former Chief Scientist, CSIR Central Mechanical Engineering Research Institute, India",44,138,8309
Prashant K Jain,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign",59,101,34710
Jaya Preethi Mohan,Univeristy of North Dakota,3,1,40
PRERNA TRIPATHI,research scholar,1,0,9
Rajat Mittal,Johns Hopkins University,76,222,26264
rajiv kumar,assistant professor of mechanical engineering,96,568,49285
Ramesh P. Singh,Chapman university,65,206,15829
Rishikesh Narayanan,"Professor, Molecular Biophysics Unit, Indian Institute of Science, Bangalore",28,49,2280
Rohit Gupta,"Chief Information Officer, MedGenome",54,328,34769
Rudra Pratap,"Vice-Chancellor, Plaksha University, Mohali, Punjab;  Professor at CeNSE, IISc, Bangalore",34,80,4395
Rupesh Jayaram Patil,The University of Queensland,13,14,394
Sanjay Mahajan,principal-igmc-hp@gov.in,21,33,2108
Dr. Saravanan Muthupandian,"Professor - FAMS, UT, AMR and Nanomedicine",80,208,50701
Saritha Krishna,University of California San Francisco Medical Center,14,15,801
Dr Saurav Dixit,"Khalifa University, Abu Dhabi, UAE",39,96,4609
Sayandev Mukherjee,Principal Architect,33,56,6067
Shahadat Uddin,The University of Sydney,39,105,7411
Shankar Subramaniam,University of California San Diego,93,280,59156
Shriram Krishnamurthi,"Professor of Computer Science, Brown University",57,154,12194
Subhasis Chaudhuri,Indian Institute of Technology Bombay,51,184,12502
Sudhir R. Jain,Bhabha Atomic Research Centre,75,166,19340
Sudipta Sarangi,Virginia Tech,25,61,2845
Sumantra Dutta Roy,"Department of Electrical Engineering, Indian Institute of Technology Delhi",22,46,1996
"Suresh Kannan Balasingam, PhD","Research Professor, Korea University (KU), Seoul",24,29,2423
Suresh Nair,Professor of Neurosurgery sree Chitra Tirunal Institute of Medical Sciences and Technology Trivandru,50,170,10788
SURJYA KANTA GHOSH,Teacher,19,38,1752
Tapanendu Kundu,"Professor of Physics, IIT Bombay",23,42,1743
Tharun Kumar Reddy Reddyvari,Student of electronic and communication engineering,107,181,56142
Vasudeva Varma,"Professor, IIIT Hyderabad, India",43,162,8786
Sakthivel Venkatesh,"Research Scholar, Department of Botany, Saraswathi Narayanan College, Madurai, TamilNadu, India.",4,0,20
Vivek Borkar,Indian Institute of Technology Bombay,55,191,17554
Vivek Farias,Massachusetts Institute of Technology,31,50,5302
Vivek Pathak,"Assistant Professor, Stevens Institute of Technology",5,3,195
Vivek Subramanian,Ecole polytechnique Federale de Lausanne (EPFL),74,196,24792
Amitabha Mukherjee,"Vice President, WSP USA",1,0,5
Debasish Sarkar,NIT Rourkela,32,63,3066
Deepak Pant,"Senior Scientist, Sustainable Chemistry, Flemish Institute for Technological Research, VITO, Belgium",89,201,24833
Diptiman Sen,"Professor, Centre for High Energy Physics, Indian Institute of Science, Bengaluru, India",50,153,8705
Indranil Sengupta,"Vice Chancellor, JIS University, Kolkata",34,44,4616
Mousumi Bora,PhD research scholar,8,8,627
Navakanta Bhat,Indian Institute of Science,34,132,5909
Pawan K Hari,New York University,11,11,533
siddhartha roy,CSIR-Indian Institute of Chemical Biology,21,30,1774
Somak Raychaudhury,"Vice-Chancellor, Ashoka University, Sonipat, Haryana, India",46,116,6806
Soumyo Mukherji,IIT Bombay,38,93,7352
Dr. Balasubramanian Sriram,"Research Assistant Professor, National Taipei University of Technology, Taipei",30,52,2188
Sudipta Sarkar,"Professor, Department of Civil Engineering, Indian Institute of Technology Roorkee, India",25,43,2997
Tanmay Basak,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras",51,184,11434
Udayan Guha,"Senior VP, Clinical and Translational Development, NextCure Inc; Senior Clinical Advisory Staff, NCI",33,47,4240
Abhirup Sarkar,"Professor of Economics, Indian Statistical Institute",12,12,785
Amit Chakraborty,Master in computer applications,55,253,13570
Amitava Mukherjee,"Senior professor and Ex-Director, Centre for Nanobiotechnology, VIT University",78,351,24313
Anindya Chatterjee,"Professor, Department of Mechanical Engineering, Indian Institute of Technology, Kanpur",34,82,7535
Dr. Anirban Bhattacharya,"Associate Professor, Mechanical Engineering Department, Indian Institute of Technology Patna",30,60,3380
Arijit Karati,"Assistant Professor, National Sun Yat-sen University",14,21,1111
Arindam Dey,Research Scientist @ Meta Reality Labs | Adjunct Research Fellow @ UQ,28,42,2979
Ashok K. Mishra,"Kemper and Ethel Marley Foundation Chair, ASU Tempe, AZ",68,240,15920
Babita Sharma,"PhD Scholar at Singhania University, Rajasthan, India",35,125,6319
Basudev Majumder,"Faculty, Department of Avionics, IIST, Trivandrum",13,17,619
Bharati Basu,"Professor of Economics, Central Michigan University",11,11,341
Prof. (Dr.) Biswanath Mondal,"Former Professor & Chief Scientist, AcSIR /Centre for Advanced Materials Processing, CSIR-CMERI",33,65,4082
Debashis Mandal,"Principal Scientist & ICAR-National Fellow, ICAR-IISWC",31,99,3776
Debatosh Guha,"Institute of Radio Physics & Electronics, Calcutta University",40,79,5082
Dipak Kumar Jana,"Principal at Gangarampur College, Former HOD at SAS&H, Professor, Haldia Institute of Technology",29,65,2346
Dipankar Sarkar,National Geophysical Research Institute,27,49,2472
Dr Ganesh Chandra  Nayak,Associate Professor,37,82,3594
Gourab Banerjee,Yale University,12,12,1184
Indrajit Chakrabarti,"Professor, Dept. of Electronics and Electrical Communication Engineering, IIT Kharagpur",21,52,1459
Md Jahangir Alam,"Researcher, CRIM",67,437,23188
Jayanta Bhattacharya,Indian Institute of Technology Kharagpur,42,119,8920
Joydeep Banerjee,"Assistant Professor, Department of Agricultural and Food Engineering, Indian Institute of Technology",17,22,1117
Kaushik Kumar Bharadwaj,Research Scholar,12,14,717
Kalyan Kumar Chattopadhyay,"Professor, Jadavpur University",65,340,16124
Prasanta Kumar Das,"Associate Professor, Department of Physics, BITS Pilani, K.K.Birla Goa Campus",92,452,30286
"Dr. Narendra Nath Ghosh, FRSC","Professor, Dept of Chemistry, BITS Pilani, KK Birla Goa Campus",39,103,6988
rakesh pandey,"Professor in Physics, K M College, Delhi University",4,2,70
Dr. K. N. Das,"Professor of Soil Science, Assam agricultural University",11,14,394
K N Rai,"Institute Professor, IIT BHU Varanasi India",29,69,2626
Prof. Kalyan Kumar Das,Jadavpur University,31,125,5821
Kalyanmoy Deb,"University Distinguished Professor, Electrical and Computer Engineering, Michigan State University",145,647,216104
Karabi Biswas,"Professor, Indian Institute of Technology Kharagpur",29,56,3149
Kaustubha Mohanty,"Professor and Head of Chemical Engineering, IIT Guwahati",59,172,11249
Krishan Kumar,Student at Carleton University,109,1023,67818
Kuldeep Kumar Sharma,ICAR-IIMR,47,269,10032
Kunal Pal,National Institute of Technology Rourkela,56,193,11305
Lalit Mohan Patnaik,"Adjunct Professor and NASI(National Academy of Sciences India)Senior Scientist, NIAS,Bangalore,India",42,204,16771
M.K. Walz,Professor der Medizin,65,165,16968
Mrinal K. Ghose,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad",43,124,6586
Manoj Kumar Tiwari,"Director, Indian Institute of Management Mumbai,India &Prof.of ISE,IIT KGP",89,336,35395
Rajeshwar Malavath,Professor Jayashankar Telangana State Agricultural University,10,10,280
Madhumita Chakraborty,iim lucknow,16,18,766
Manas Chatterjee,"Professor and Head, Department of Dermatology, Command Hospital (Eastern Command), Kolkata 700027",22,38,1682
Mrinal K. Ghose,"Professor of Environmental Science & Engineering, Indian School of Mines, Dhanbad",43,124,6586
Mrinal Kanti Naskar,"Professor, Jadavpur University",20,67,1987
Narottam K Das,"Senior Lecturer, Central Queensland University, Melbourne Campus, Australia",27,85,2741
Nand K Roy,"Postdoctoral Fellow, Centre for Cancer Immunotherapy, La Jolla Institute for Immunology",23,30,3190
Narendra Nath Dutta,"Assistant Professor, VIT-AP University, India",12,12,271
NILOTPAL MRINAL,"Student Of B.tech Final Year At BCET,Durgapur",2,0,10
Partha Chakraborty,Unknown affiliation,42,212,7698
Partha Sarkar,Adj. Prof. of University of Alberta,39,86,8479
Pijush Ghosh,"Professor, Department of Applied Mechanics & Biomedical Engg, Indian Institute of Technology Madras",20,33,1476
Dr PK Banerjee,"Outstanding Scientist & Outstanding Professor (AcSIR), CSIR-CIMFR Dhanbad and Ex-CTO, HINDALCO",25,50,2035
"Prantik Kundu, PhD","Ceretype Neuromedicine Inc., Mount Sinai School of Medicine, Brigham and Women's Hospital, HMS",42,55,6426
Amit Singal,University of Texas Southwestern Medical Center,94,338,36414
AMITABH GUPTA,"Associate Professor, Dept. of Financial Studies,University of Delhi",50,206,11581
Dr. Arvind Tiwari,"BAG Energy Research Society, India",27,38,4791
Ashutosh Sharma,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur",89,404,26549
Ashutosh Tiwari,"Civil Engg. ,Kamla Nehru Institute of Technology",80,427,30736
Atul Kumar,"Assistant Professor, Baba Mastnath University",75,527,25139
Balesh Kumar,Unknown affiliation,3,1,46
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Vipin Kumar,"Assistant Professor of Computer Science Engineering , Women Institute of Technology Dehradun",69,576,43697
Dhruba Kr Bhattacharyya,"Professor of Computer Science and Engg, Tezpur University",46,131,10275
Dheerendra Kumar Dwivedi,"IIT ROORKEE, INDIA, PIN: 247667",48,125,6558
D P Kothari,"Vice chancellor, VIT Vellore, Director I/c, IIT Delhi, Deputy Director(A),IIT Delhi,Principal,VRCE",65,238,22843
Dr. Pardeep Singh,Ambala College of Engineering & Applied Research Associate Professor of Mathmatics,102,597,42879
Dr. VINAY  SINGH,Associate Professor Computer Science,64,395,19070
Devendra Choudhary,"Prof. (Associate), Govt. Engineering College, Ajmer",11,11,1183
Peter C. Gotzsche,Institute for Scientific Freedom,111,328,413024
Dharmendra  Mishra,Purdue University,17,27,1388
Rajeev Agrawal,"Kumaon engineering college, G. L. Bajaj, LLoyd Institute of Engg& tech",17,35,1269
Girish  M. Joshi,Institute of Chemical Technology Mumbai off campus Marathwada Region-Jalna,29,69,2945
Lipsa Das,Assistant Professor,11,11,319
Dr Kavita Pandey,"assistant prof at GN Khalsa College, University of Mumbai",6,4,1545
Giriraj Ratan Chandak,Former Chief Scientist and Sir JC Bose Fellow,52,115,14396
Prof. GRK SASTRY,"Professor,Department of Mechanical Engineering,National Institute of Technology Andhra Pradesh",22,112,3308
G S Gupta,Indian Institute of Science,23,41,1588
Girja Shankar Pandey,University of Zambia,20,33,1238
H C Verma,IIT Kanpur,36,108,4884
H C Verma,IIT Kanpur,36,108,4884
Himanshu Narayan Singh,Memorial Sloan Kettering Cancer Center,15,20,817
HARI OM GUPTA,RETIRED from DIRECTOR JIIT NOIDA and IIT ROORKEE,35,97,5758
Dr. Ruchika Garg,"Assistant Professor, Maharaja Agrasen University, Baddi, Solan, H.P.",3,1,29
Harbhajan Singh,Data Scientist,1,0,7
HARI OM GUPTA,RETIRED from DIRECTOR JIIT NOIDA and IIT ROORKEE,35,97,5758
Dr. Harsh Kumar Goyal,Administrative Officer Ministry Of Education,70,470,26336
Inderpreet Singh Ahuja,Professor in Mechanical Engineering,43,128,8841
Dr.Inderjit Singh-PBG,"PAU, Ludhiana",22,52,1924
Kaushal Shetty,JP Morgan Chase,1,1,13
Shyam Pandey,Professor,43,179,8240
Jay S. Yadav,"Founder and CEO, MiRus , LLC",56,143,21961
Jagdish Narain Sharma,"Professor Pediatrics, Department of Pediatrics, MAHATMA GANDHI MEDICAL COLLEGE & HOSPITAL JAIPUR",9,9,330
JAY SHANKAR KUMAR,Research scholar,90,778,37615
Nathan H. Lents,Professor of Biology at John Jay College (CUNY),19,29,3076
Jayant Prakash,Unknown affiliation,5,4,112
Jitendra Kumar,Engineer at Coforge,83,778,35780
Joseph A Maxwell,George Mason University,53,80,85653
"Kapil Chandra Agarwal, Dr.","Former Professor at Dr. A. P. J. Abdul Kalam Technical University, Lucknow",7,5,250
K.C Jain,"Professor in Dept.of mathematics, Malaviya national Institute of technology, Jaipur",11,14,476
Siddharth Paliwal,BITS Pilani K.K. Birla Goa Campus,2,0,6
Dr.K.K.Tripathi,"Associate Professor at the Institute of Technology, Nirma University, Ahmedabad, India",10,10,603
K L Narsimhan,visiting Professor EE IIT Bombay,34,106,4464
Krishna Mohan Agarwal,"DNC Meerut, KNIT Sultanpur, IIT Delhi, AUUP Noida, KU Kurukshetra, IMI New Delhi",13,16,607
"Kunwar P. Singh, Ph.D., FAEB, FIC","Ex-Chief Scientist, CSIR-Indian Institute of Toxicology Research",71,385,29632
Munish Chauhan,"Hoglund Biomedical Imaging Center, University of Kansas Medical Center",11,15,429
Jagadeesh K S,"Professor of Microbiology, University of Agricultural sciences Dharwad",16,24,1063
"K S. Rao,K.S. Jagannatha Rao, Rao KS, Jagannatha Rao Kosagisharaf, Rao KS Jagannatha, Jagannatha Rao","kL deemed to be university, india, earlier indicasat aip, Panama,  CFTRI, India",52,122,8944
Reddy K S,"Professor, Department of Mechanical Engineering, IIT Madras",56,166,11185
Krishna Vasudeva Rao G,Unknown affiliation,1,0,7
Lalit Mohan Patnaik,"Adjunct Professor and NASI(National Academy of Sciences India)Senior Scientist, NIAS,Bangalore,India",42,204,16771
Dr. LN Sharma,Indian Institute of Technology Guwahati,22,45,1924
Michel Foucault,"Philosophy, Collège de France",309,1511,1403631
Mahendra Chandra Joshi,National Institute of Technology Rourkela,6,5,141
VARSHA TIWARI,IIT (ISM) DHANBAD,0,0,0
Manoj K Agarwal,"Professor of Marketing, Director MS Data Analytics Program, Binghamton University, State University",17,20,3284
Mandeep Kumar Singh,"Amity University Gwalior and Doctor Harisingh Gour University, CSIR-SRF",4,2,121
Manoj Kumar Gupta,"Joslin Diabetes Center, Harvard Medical School",68,412,23000
Dr. M.K. Jha,Purdue University,193,782,207269
Meetu Kaushik Tiwari,Associate Research Scientist,10,10,670
Manoj Kumar Mishra,University of Calgary,30,41,3512
Manoj Kumar Mohanty,"AIIMS, Bhubaneswar",21,32,1694
Manish K. Pandey,"Principal Scientist- Genomics, Prebreeding & Bioinformatics, ICRISAT, India",63,172,12982
Manoj K Sharma,Unknown affiliation,69,421,24173
Manish Kumar Singh,student,66,448,21999
M L Kansal,"Professor (HAG) and Ex-NEEPCO Chair & Head, WRD&M, IIT Roorkee",23,50,2877
Murari Lal Mittal,Malaviya National Institute of Technology Jaipur,23,31,2770
Dr. M. L. Munjal,"Department of Mechanical Engineering, Indian Institute of Science",39,109,8077
Dr.M.L. Sharma,Professor,21,45,3870
Chaturvedi m.m.,"Former Senior Professor of Molecular Biology, Dept. of Zoology, university of Delhi, India",37,55,13576
Madan M. Gupta,University of Saskatchewan,79,378,47944
Rajesh Pandey,"Professor and Head, Department of Biochemistry, MM Institute of Medical Sciences and Research",29,37,4830
Bhaskar Das,University of Minnesota,19,34,1721
Munishwar Nath Gupta,"Dept of Biochem. Engg & Biotechnology,IIT Delhi",63,272,16811
Jani Scandura,University of Minnesota,5,3,202
M.N.Jha,Rajendra agricultural university pusa,12,13,462
Ajay J Joshi,"University of Minnesota, Twin Cities",11,12,1686
"Md Nuruzzaman Khan, PhD","Melbourne School of Population and Global Health, The University of Melbourne, Australia",53,112,28921
Anant Mishra,"Andrew Van de Ven Professorship in Supply Chain and Operations, University of Minnesota",17,23,1511
Mohan N. Rathi,"The M S University of Baroda, Vadodara",11,11,484
"Akhilesh Pandey, M.D., Ph.D.","Professor, Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota",134,773,92009
Akshay Rao,"Professor of Marketing, Carlson School of Management, University of Minnesota",31,37,17122
Ananda Shastri,"Professor of Physics and Astronomy, Minnesota State University Moorhead",22,28,2924
Mayur Sharma,"Assistant Professor, Neurosurgery, University of Minnesota",36,98,4005
Gatikrushna Singh,University Minnesota,40,165,7809
Jaideep Srivastava,"Professor, University of Minnesota",66,288,32489
Ms Nagja Tripathi,"Institute of Pharmacy, Nirma University",4,3,134
Pragya Verma,University of Minnesota,22,33,3158
Dr. DEEPA GARG,JNKVV RARS Sagar M.P.,5,4,241
Mahesh P. Gupta,"Associate Professor and Director of Cardiothoracic Center Research Program, University of Chicago",71,295,23984
M P Kaushik,"PTDD, DRDE Gwalior",36,113,4361
Durgesh Kumar Mishra,"Professor of Computer Engineering and Director Microsoft Innovation Center, Sri Aurobindo Institute of Technilogy, Indore, MP, I",32,96,6489
Dr.Akhilesh Pandey (Prof. on lien),"Chairman, M.P. Private University Regulatory commission",66,384,22713
Dr D. S. Rathore,"Head, Dept. of Biotechnology, Govt. K.R.G.P.G. (Autonomous) College, Gwalior (M.P.) India",7,4,211
