Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Prabhu Rajagopal,"Professor, Department of Mechanical Engineering, IIT Madras, T.N., India",27,61,2596,Indian Institute of Technology Madras,Non-Destructive Testing,Structural Health Monitoring
Radhika Srinivasan,"PGIMER, Chandigarh",49,231,9094,PGIMER,Pathology,Molecular Diagnostics
Raghunathan Rengaswamy,"Professor of Chemical Engineering, IIT Madras",48,142,15805,Indian Institute of Technology Madras,Process Systems Engineering,Energy and Sustainability
Rajagopalan Srinivasan,Indian Institute of Technology Madras,52,143,7813,Indian Institute of Technology Madras,Process Systems Engineering,Process Safety
Dr. Krishan Kumar,"Department of Food Technology, Rajiv Gandhi University, Rono Hills, Doimukh, Arunachal Pradesh",21,30,1907,Rajiv Gandhi University,Food Technology,Nutritional Sciences
Karthik Rajendran,Associate Professor SRM University-AP,42,71,5997,SRM University-AP,Bioenergy,Environmental Biotechnology
Ramesh Hariharan,Mott MacDonald,1,1,10,Mott MacDonald,Water Resources Management,Environmental Engineering
"Ranjit Nair, MD",UT MD Anderson Cancer Center,23,49,2379,UT MD Anderson Cancer Center,Cancer Biology,Precision Medicine
Ravi Jain,Google,45,108,9455,Google,Quantum Computing,Distributed Systems
Vinu Ravikrishnan,"Professor, Chemical Engineering, Indian Institute of Technology Madras, India",50,123,7862,Indian Institute of Technology Madras,Chemical Engineering,Process Systems Engineering
Sampath Rajagopalan,University of Southern California,28,38,3332,University of Southern California,Operations Management,Supply Chain Management
Sandeep Neema,"Research Professor, Vanderbilt University",34,98,10414,Vanderbilt University,Model-Based Design,Cyber-Physical Systems
Sanghamitra Bandyopadhyay,"Professor of Computer Science, Indian Statistical Institute, Kolkata, India",64,221,21383,Indian Statistical Institute,Machine Learning,Pattern Recognition
Dr.Saravanan Subramanian,College Librarian,60,319,15994,College Librarian,Information Management,Digital Libraries
Saravanan vijayakumar,"Scientist NCDIR, ICMR",15,19,757,National Centre for Disease Informatics and Research (NCDIR),ICMR,Non-communicable Diseases
Satyajit Mayor,National Centre for Biological Sciences TIFR,73,127,25325,National Centre for Biological Sciences TIFR,Cell Biology,Membrane Dynamics
Senthilkumar Balakrishnan,Tamil Nadu State Council for Science  and Technology,37,69,26735,Tamil Nadu State Council for Science and Technology,Environmental Science,Renewable Energy
Shankar Subramaniam,University of California San Diego,93,280,59156,University of California San Diego,Bioinformatics,Systems Biology
Sharath Nittur Sridhar,"Research Scientist, Intel Corporation",6,5,932,Intel Corporation,Artificial Intelligence,Edge Computing
Muthusamy Sivakumar,"Professor of Practice, Biotechnology, Periyar Maniammai Institute of Science & Tech, Thanjavur",31,69,3903,Periyar Maniammai Institute of Science & Technology,Biotechnology,Genetic Engineering
Sobha Vijayan Nair,"Associate Professor, Amrita Viswa Vidhyapeetham",9,9,348,Amrita Viswa Vidhyapeetham,Bioinformatics,Computational Biology
sreekumar narayanan,"Botho University, Gaborone, Botswana",5,2,64,Botho University,Data Science,Artificial Intelligence
Srinivas Chakravarthy,"Senior Scientist, Cytiva",30,57,4084,Cytiva,Bioprocessing,Biomanufacturing
R Srinivasan,texas,99,396,60466,University of Texas at Arlington,Control Systems,Robotics
Sudarshan Srinivasan,Intel,15,16,1424,Intel,Computer Architecture,Hardware Security
Mark U SubbaRao,"NASAs Scientific Visualization Studio, Goddard Space Flight Center",53,68,61003,NASAs Scientific Visualization Studio,Goddard Space Flight Center,Data Visualization
Prof. Suresh Kumar Gupta,Distinguished Professor& HOD Department of Clinical Research DPSR UNIVERSITY,69,311,19802,DPSR University,Clinical Research,Pharmacology
Suresh Sethu,Assistant Professor in NPR College of Engineering and Technology,2,0,14,NPR College of Engineering and Technology,Signal Processing,Wireless Communication
swathi v iyer,"Research Scholar, Memorial Sloan Kettering Cancer Center",11,11,872,Memorial Sloan Kettering Cancer Center,Cancer Biology,Immunotherapy
Prof. Dr. Sayed Abdel Kader Ahmed,"Professor of Organic Chemistry, Vice Dean, Faculty of Science, Beni Suef University",56,302,18802,Beni Suef University,Organic Chemistry,Chemical Synthesis
T.G. Srinivasan,"Professor, HBNI",46,141,6856,Homi Bhabha National Institute,Nuclear Physics,Condensed Matter Physics
Assist. Prof/Dr.Tamilselvan Mohan,Graz University of Technology,30,66,2358,Graz University of Technology,Biomedical Engineering,Signal Processing
Uma Maheswari Krishnan,SASTRA DEEMED UNIVERSITY,60,192,12409,SASTRA Deemed University,Nanotechnology,Biomedical Engineering
K Unnikrishnan Nair,"Professor - Organizational Behaviour, IIM Kozhikode; Former ICCR Rotating Chair Professor, FSU Jena",5,5,330,IIM Kozhikode,Organizational Behaviour,Leadership
Vijay V Raghavan,"Alfred and Helen Lamson Endowed Professor in Computer Science, University of Louisiana at Lafayette",46,140,11551,University of Louisiana at Lafayette,Data Mining,Information Retrieval
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080,Professor Abdulazeez University,Environmental Chemistry,Water Treatment
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080,Professor Abdulazeez University,Environmental Chemistry,Water Treatment
Viswanathan (Vishy) Swaminathan,"Sr. Principal Scientist, Adobe Research",33,81,4066,Adobe Research,Human-Computer Interaction,Computational Social Science
Vivek Kumar Garg,Chandigarh University,35,93,4342,Chandigarh University,Artificial Intelligence,Data Science
Vivek Hari Sundar Gandhivel,"Donald Danforth Plant Science Center, USA",4,3,115,Donald Danforth Plant Science Center,Plant Genomics,Crop Improvement
Dr. Yuvaraj T,"Research Faculty, Centre for Smart Energy Systems, Chennai Institute of Technology, Chennai, India",24,36,2306,Chennai Institute of Technology,Smart Energy Systems,Renewable Energy Technologies
Bodh Raj Mehta,Indian Institute of Technology Delhi,46,189,9585,Indian Institute of Technology Delhi,Chemical Engineering,Process Systems Engineering
Devang Khakhar,Indian Institute of Technology Bombay,46,109,7888,Indian Institute of Technology Bombay,Chemical Engineering,Polymer Science and Engineering
Harpreet Singh,LIbrarian,60,388,19432,Librarian,Information Science,Knowledge Management
jhuma sen gupta,Researcher,4,3,81,Researcher,Environmental Law,Human Rights
Naveen Garg,"Computer Science and Engineering, IIT Delhi",34,54,7060,IIT Delhi,Algorithms,Data Structures
Prashant K Jain,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign",59,101,34710,University of Illinois Urbana-Champaign,Nanomaterials,Optical Spectroscopy
Pradipta Ghosh,"Professor of Medicine and Cellular and Molecular Medicine, University of California, San Diego",52,121,23594,University of California,medicle,cancer
Rangan Banerjee,IIT Bombay,45,105,7495,IIT Bombay,Energy Systems,Renewable Energy Technologies
Saikat Bhattacharya,UT Southwestern Medical Center,10,10,280,UT Southwestern Medical Center,Cancer Biology,Cell Signaling
Shalabh Bhatnagar,"Professor in the Department of Computer Science and Automation, Indian Institute of Science",37,102,7773,Indian Institute of Science,Reinforcement Learning,Stochastic Optimization
Shantanu Roy,University of Chicago,58,270,14261,University of Chicago,Chemical Engineering,Process Systems Engineering
Sudip Misra,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur",66,349,19274,Indian Institute of Technology Kharagpur,Internet of Things,Wireless Sensor Networks
Sujay Guha,Stanford University,8,8,345,Stanford University,Biomedical Engineering,Nanotechnology
Supriyo Bandyopadhyay,"Virginia Commonwealth University, University of Nebraska, University of Notre Dame, Purdue",53,177,10808,Virginia Commonwealth University,Spintronics,Quantum Computing
Tarun Kant,"Professor Emeritus, Department of Civil Engineering, Indian Institute of Technology Bombay",51,119,10071,Indian Institute of Technology Bombay,Structural Mechanics,Composite Materials
Utpal Bora,"Professor, Indian Institute of Technology Guwahati",42,83,8200,Indian Institute of Technology Guwahati,Environmental Biotechnology,Microbial Fuel Cells
"V Ramgopal Rao, Fellow of IEEE, TWAS, INSA, INAE, IASc, NASI",IIT Bombay/IIT Delhi,50,202,9021,IIT Delhi,Nanoelectronics,MEMS/NEMS
Vijay Kumar Jain,"Professor Orthopaedic surgery, Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar",33,71,3836,Atal Bihari Vajpayee Institute of Medical Sciences,Orthopaedic Surgery,Trauma Surgery
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080,Professor Abdulazeez University,Environmental Chemistry,Analytical Chemistry
Prasanna Mohan Viswanathan,"Professor, Curtin University Malaysia",41,117,5624,Curtin University Malaysia,Renewable Energy,Environmental Sustainability
Yogesh C. Joshi,"Scientist-F (Professor) ARIES, Nainital",35,56,4040,ARIES (Aryabhatta Research Institute of Observational Sciences),Astrophysics,Solar Physics
Advait Abhay Dixit,"University of California, Los Angeles",15,20,2635,University of California,Los Angeles,Systems Biology
Dr. Ajay Kumar Gupta,Ganpat University,14,17,13528,Ganpat University,Renewable Energy,Sustainable Development
Amol Deshmukh,"Professor, NIT Nagpur",23,55,1699,National Institute of Technology (NIT) Nagpur,Human-Computer Interaction,Assistive Technologies
Arnab K. Basu,"Charles H. Dyson School of Applied Economics and Management, Cornell university, Ithaca, NY 14850.",22,35,1861,Cornell University,Development Economics,Applied Microeconomics
"Ashish Ranjan Sharma, Ph.D.","Institute of Skeletal Ageing & Orthopedic Surgery, Hallym University, South Korea",47,113,9604,Hallym University,Skeletal Ageing,Orthopedic Surgery
Atul Dixit,Tulane University,18,35,924,Tulane University,Number Theory,Analytic Number Theory
Avijit Ghosh,Dayra,50,280,10733,Dayra,Artificial Intelligence,Data Science
Ayaskanta Sahu,New York University,25,31,2424,New York University,Materials Science,Nanotechnology
Aravindha Babu,Professor sree balaji dental college and hospital. Bharath university chennai.,19,30,1464,Bharath University,Dental Materials,Oral Pathology
Bhaskar Dasgupta,"Consultant Rheumatologist, Southend University",69,182,24069,Southend University,Rheumatology,Autoimmune Diseases
Debasis Mitra,"Professor of Electrical Engineering, Columbia University",68,224,18700,Columbia University,Network Algorithms,Resource Allocation
Dhiren Patel,"NIT Surat, India",29,61,5012,NIT Surat,Structural Engineering,Earthquake Engineering
Dipti Srinivasan,"IEEE Fellow;  Professor, National University of",90,308,27133,National University of Singapore,Power Systems,Renewable Energy Integration
Girish Dalvi,Indian Institute of Technology Bombay,7,5,158,Indian Institute of Technology Bombay,Human-Computer Interaction,Design Education
Guhan Jayaraman,"Professor of Biotechnology, IIT Madras Chennai",26,35,1618,Indian Institute of Technology Madras,Biotechnology,Protein Engineering
Himadri Pakrasi,Washington University in St. Louis,78,209,17865,Washington University in St. Louis,Photosynthesis,Cyanobacteria
Dr Indumathi T,Postdoctoral Researcher,14,17,404,Postdoctoral Researcher,Quantum Computing,Nanotechnology
Ishwar K. Puri,"Professor, Viterbi School of Engineering, University of Southern California",58,183,10119,University of Southern California,Energy Systems,Fluid Dynamics
Kaustav Chatterjee,"Assistant Professor, Indian Institute of Technology Roorkee",13,20,665,Indian Institute of Technology Roorkee,Fluid Mechanics,Heat Transfer
Manish K. Tiwari,University College London,39,89,6885,University College London,Microfluidics,Nanotechnology
Markus Kraft,"University of Cambridge, MIT",76,330,21879,University of Cambridge,Combustion Chemistry,Computational Modelling
Milind Tambe,Professor & Director CRCS Center  @Harvard; Director AI for Social Good @Google Research,97,457,40277,Harvard University,Artificial Intelligence,Social Impact of AI
Mukesh Prasad,University of Technology Sydney,40,115,8347,University of Technology Sydney,Artificial Intelligence,Data Science
Narendra Dixit,"Department of Chemical Engineering, Indian Institute of Science",33,66,3514,Indian Institute of Science,Systems Biology,Synthetic Biology
Niladri S. Chatterji,"Postdoctoral Researcher, Department of Computer Science, Stanford University",24,28,10961,Stanford University,Artificial Intelligence,Data Science
Niranjan Damle,Assestant Professor,2,0,7,Indian Institute of Technology Bombay,Quantum Computing,Theoretical Physics
Dr. Nishant Saurabh,"Assistant Professor, Utrecht University, Netherlands.",11,13,413,Utrecht University,Climate Modeling,Atmospheric Chemistry
Dr. Pankaj Singh,"Department of Biotechnology, Dr. Rammanohar Lohia Avadh University, Ayodhya, UP, India",21,52,1989,Dr. Rammanohar Lohia Avadh University,Biotechnology,Microbial Genetics
Partha Bhattacharyya,"Associate Professor,Dept. of Electronics and Telecommunication Engineering,IIEST,Shibpur,India",35,79,4728,Indian Institute of Engineering Science and Technology (IIEST),Electronics and Telecommunication Engineering,Signal Processing
Parthasarathi Das  FRSC,Indian Institute of Technology (ISM) Dhanbad,29,66,2244,Indian Institute of Technology (ISM) Dhanbad,Organic Chemistry,Materials Chemistry
Pradip Kumar Chatterjee,"Former Chief Scientist, CSIR Central Mechanical Engineering Research Institute, India",44,138,8309,CSIR Central Mechanical Engineering Research Institute,Mechanical Engineering,Tribology
Prashant K Jain,"G. L. Clark Professor of Physical Chemistry, University of Illinois Urbana-Champaign",59,101,34710,University of Illinois Urbana-Champaign,Nanoscale Optics,Energy Conversion
Jaya Preethi Mohan,Univeristy of North Dakota,3,1,40,University of North Dakota,Biomedical Engineering,Nanotechnology
PRERNA TRIPATHI,research scholar,1,0,9,Research Scholar,Artificial Intelligence,Data Science
Rajat Mittal,Johns Hopkins University,76,222,26264,Johns Hopkins University,Computer Science,Data Privacy
rajiv kumar,assistant professor of mechanical engineering,96,568,49285,Indian Institute of Technology (IIT) Delhi,Thermal Engineering,Fluid Mechanics
Ramesh P. Singh,Chapman university,65,206,15829,Chapman University,Remote Sensing,Environmental Monitoring
Rishikesh Narayanan,"Professor, Molecular Biophysics Unit, Indian Institute of Science, Bangalore",28,49,2280,Indian Institute of Science,Neuroscience,Ion Channel Biophysics
Rohit Gupta,"Chief Information Officer, MedGenome",54,328,34769,MedGenome,Genomics,Bioinformatics
Rudra Pratap,"Vice-Chancellor, Plaksha University, Mohali, Punjab;  Professor at CeNSE, IISc, Bangalore",34,80,4395,Plaksha University,Microelectromechanical Systems (MEMS),Nanotechnology
Rupesh Jayaram Patil,The University of Queensland,13,14,394,The University of Queensland,Biomedical Engineering,Tissue Engineering
Sanjay Mahajan,principal-igmc-hp@gov.in,21,33,2108,Indira Gandhi Medical College (IGMC),Public Health,Epidemiology
Dr. Saravanan Muthupandian,"Professor - FAMS, UT, AMR and Nanomedicine",80,208,50701,University of Texas at Austin,Nanomedicine,Advanced Materials Research
Saritha Krishna,University of California San Francisco Medical Center,14,15,801,University of California San Francisco Medical Center,Cancer Biology,Immunotherapy
Dr Saurav Dixit,"Khalifa University, Abu Dhabi, UAE",39,96,4609,Khalifa University,Renewable Energy,Energy Storage Systems
Sayandev Mukherjee,Principal Architect,33,56,6067,Principal Architect,Wireless Communication,Signal Processing
Shahadat Uddin,The University of Sydney,39,105,7411,The University of Sydney,Network Science,Health Informatics
Shankar Subramaniam,University of California San Diego,93,280,59156,University of California San Diego,Bioinformatics,Systems Biology
Shriram Krishnamurthi,"Professor of Computer Science, Brown University",57,154,12194,Brown University,Programming Languages,Software Engineering
Subhasis Chaudhuri,Indian Institute of Technology Bombay,51,184,12502,Indian Institute of Technology Bombay,Image Processing,Computer Vision
Sudhir R. Jain,Bhabha Atomic Research Centre,75,166,19340,Bhabha Atomic Research Centre,Nuclear Physics,Materials Science
Sudipta Sarangi,Virginia Tech,25,61,2845,Virginia Tech,Development Economics,Social Networks
Sumantra Dutta Roy,"Department of Electrical Engineering, Indian Institute of Technology Delhi",22,46,1996,Indian Institute of Technology Delhi,Signal Processing,Image Processing
"Suresh Kannan Balasingam, PhD","Research Professor, Korea University (KU), Seoul",24,29,2423,Korea University (KU),Renewable Energy Systems,Power Electronics
Suresh Nair,Professor of Neurosurgery sree Chitra Tirunal Institute of Medical Sciences and Technology Trivandru,50,170,10788,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Neurosurgery,Neurological Disorders
SURJYA KANTA GHOSH,Teacher,19,38,1752,Teacher,Education,Pedagogy
Tapanendu Kundu,"Professor of Physics, IIT Bombay",23,42,1743,Indian Institute of Technology Bombay,Condensed Matter Physics,Quantum Materials
Vasudeva Varma,"Professor, IIIT Hyderabad, India",43,162,8786,IIIT Hyderabad,Information Retrieval,Natural Language Processing
Sakthivel Venkatesh,"Research Scholar, Department of Botany, Saraswathi Narayanan College, Madurai, TamilNadu, India.",4,0,20,Saraswathi Narayanan College,Plant Physiology,Environmental Botany
Vivek Borkar,Indian Institute of Technology Bombay,55,191,17554,Indian Institute of Technology Bombay,Control Theory,Stochastic Systems
Vivek Farias,Massachusetts Institute of Technology,31,50,5302,Massachusetts Institute of Technology,Operations Research,Dynamic Optimization
Vivek Pathak,"Assistant Professor, Stevens Institute of Technology",5,3,195,Stevens Institute of Technology,Wireless Communications,Network Security
Vivek Subramanian,Ecole polytechnique Federale de Lausanne (EPFL),74,196,24792,Ecole polytechnique Federale de Lausanne (EPFL),Organic Electronics,Printed Electronics
Amitabha Mukherjee,"Vice President, WSP USA",1,0,5,WSP USA,Transportation Engineering,Infrastructure Development
Debasish Sarkar,NIT Rourkela,32,63,3066,NIT Rourkela,Renewable Energy,Power Systems
Deepak Pant,"Senior Scientist, Sustainable Chemistry, Flemish Institute for Technological Research, VITO, Belgium",89,201,24833,Flemish Institute for Technological Research (VITO),Sustainable Chemistry,Environmental Technology
Diptiman Sen,"Professor, Centre for High Energy Physics, Indian Institute of Science, Bengaluru, India",50,153,8705,Indian Institute of Science,High Energy Physics,Condensed Matter Physics
Indranil Sengupta,"Vice Chancellor, JIS University, Kolkata",34,44,4616,JIS University,Cryptography,Network Security
Mousumi Bora,PhD research scholar,8,8,627,Tezpur University,Environmental Science,Climate Change
Navakanta Bhat,Indian Institute of Science,34,132,5909,Indian Institute of Science,Nanoelectronics,Biosensors
Pawan K Hari,New York University,11,11,533,New York University,Artificial Intelligence,Data Science
siddhartha roy,CSIR-Indian Institute of Chemical Biology,21,30,1774,CSIR-Indian Institute of Chemical Biology,Chemical Biology,Drug Discovery
Somak Raychaudhury,"Vice-Chancellor, Ashoka University, Sonipat, Haryana, India",46,116,6806,Ashoka University,Astrophysics,Galaxy Evolution
Soumyo Mukherji,IIT Bombay,38,93,7352,IIT Bombay,Biosensors,Microfluidics
Dr. Balasubramanian Sriram,"Research Assistant Professor, National Taipei University of Technology, Taipei",30,52,2188,National Taipei University of Technology,Materials Science,Nanotechnology
Sudipta Sarkar,"Professor, Department of Civil Engineering, Indian Institute of Technology Roorkee, India",25,43,2997,Indian Institute of Technology Roorkee,Water Treatment,Environmental Engineering
Tanmay Basak,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras",51,184,11434,Indian Institute of Technology Madras,Heat Transfer,Fluid Dynamics
Udayan Guha,"Senior VP, Clinical and Translational Development, NextCure Inc; Senior Clinical Advisory Staff, NCI",33,47,4240,NextCure Inc,Cancer Immunotherapy,Translational Medicine
Abhirup Sarkar,"Professor of Economics, Indian Statistical Institute",12,12,785,Indian Statistical Institute,Development Economics,Public Economics
Amit Chakraborty,Master in computer applications,55,253,13570,Indian Statistical Institute,Algorithms,Computational Complexity
Amitava Mukherjee,"Senior professor and Ex-Director, Centre for Nanobiotechnology, VIT University",78,351,24313,VIT University,Nanobiotechnology,Nanomedicine
Anindya Chatterjee,"Professor, Department of Mechanical Engineering, Indian Institute of Technology, Kanpur",34,82,7535,Indian Institute of Technology,Kanpur,Vibrations and Dynamics
Dr. Anirban Bhattacharya,"Associate Professor, Mechanical Engineering Department, Indian Institute of Technology Patna",30,60,3380,Indian Institute of Technology Patna,Fluid Mechanics,Heat Transfer
Arijit Karati,"Assistant Professor, National Sun Yat-sen University",14,21,1111,National Sun Yat-sen University,Cybersecurity,Cryptographic Protocols
Arindam Dey,Research Scientist @ Meta Reality Labs | Adjunct Research Fellow @ UQ,28,42,2979,Meta Reality Labs,Human-Computer Interaction,Augmented Reality
Ashok K. Mishra,"Kemper and Ethel Marley Foundation Chair, ASU Tempe, AZ",68,240,15920,Arizona State University,Agricultural Economics,Water Resource Management
Babita Sharma,"PhD Scholar at Singhania University, Rajasthan, India",35,125,6319,Singhania University,Biotechnology,Environmental Science
Basudev Majumder,"Faculty, Department of Avionics, IIST, Trivandrum",13,17,619,Indian Institute of Space Science and Technology (IIST),Avionics,Spacecraft Systems
Bharati Basu,"Professor of Economics, Central Michigan University",11,11,341,Central Michigan University,Environmental Economics,Health Economics
Prof. (Dr.) Biswanath Mondal,"Former Professor & Chief Scientist, AcSIR /Centre for Advanced Materials Processing, CSIR-CMERI",33,65,4082,CSIR-Central Mechanical Engineering Research Institute (CMERI),Advanced Materials Processing,Materials Science
Debashis Mandal,"Principal Scientist & ICAR-National Fellow, ICAR-IISWC",31,99,3776,ICAR-IISWC,Soil and Water Conservation,Sustainable Agriculture
Debatosh Guha,"Institute of Radio Physics & Electronics, Calcutta University",40,79,5082,University of Calcutta,Antenna Design,Microwave Engineering
Dipak Kumar Jana,"Principal at Gangarampur College, Former HOD at SAS&H, Professor, Haldia Institute of Technology",29,65,2346,Haldia Institute of Technology,Environmental Science,Sustainable Development
Dipankar Sarkar,National Geophysical Research Institute,27,49,2472,National Geophysical Research Institute,Geophysics,Seismology
Dr Ganesh Chandra  Nayak,Associate Professor,37,82,3594,Sambalpur University,Materials Science,Nanotechnology
Gourab Banerjee,Yale University,12,12,1184,Yale University,Electrical Engineering,Photonics
Indrajit Chakrabarti,"Professor, Dept. of Electronics and Electrical Communication Engineering, IIT Kharagpur",21,52,1459,Indian Institute of Technology Kharagpur,Signal Processing,Image Processing
Md Jahangir Alam,"Researcher, CRIM",67,437,23188,CRIM,Natural Language Processing,Artificial Intelligence
Jayanta Bhattacharya,Indian Institute of Technology Kharagpur,42,119,8920,Indian Institute of Technology Kharagpur,Signal Processing,Communications
Joydeep Banerjee,"Assistant Professor, Department of Agricultural and Food Engineering, Indian Institute of Technology",17,22,1117,Indian Institute of Technology,Agricultural Engineering,Food Processing Technology
Kaushik Kumar Bharadwaj,Research Scholar,12,14,717,Research Scholar,Artificial Intelligence,Data Science
Kalyan Kumar Chattopadhyay,"Professor, Jadavpur University",65,340,16124,Jadavpur University,Materials Science,Nanotechnology
